Title,Authors,Published Date,Description,Page Count,Categories,Category
Ecology of Java & Bali,"Tony Whitten, Roehayat Emon Soeriaatmadja, Suraya A. Afiff",1996,"Series blurb: The Ecology of Indonesia series explores one of the most biologically diverse areas of the world, incorporating current research from Western and Indonesian specialists. Each book describes in detail, Indonesia's fragile ecosystems, its unparalled biodiversity, its peoples andtheir use of natural resources, and the ecological problems which have resulted from rapid economic development.",1040.0,Nature,History
Sunset Park,Paul Auster,2010-11-04,"Paul Auster's Sunset Park is set in the sprawling flatlands of Florida, where twenty-eight-year-old Miles is photographing the last lingering traces of families who have abandoned their houses due to debt or foreclosure. Miles is haunted by guilt for having inadvertently caused the death of his step-brother, a situation that caused him to flee his father and step-mother in New York seven years ago. What keeps him in Florida is his relationship with a teenage high-school girl, Pilar, but when her family threatens to expose their relationship, Miles decides to protect Pilar by going back to Brooklyn, where he settles in a squat to prepare himself to face the inevitable confrontation with his father - a confrontation he has been avoiding for years. Set against the backdrop of the devastating global recession, and pulsing with the energy of Auster's previous novel Invisible, Sunset Park is as mythic as it is contemporary, as in love with baseball as it is with literature. It is above all, a story about love and forgiveness - not only among men and women, but also between fathers and sons.",318.0,Fiction,History
The Last Empire,Serhii Plokhy,2015-09-08,"On Christmas Day, 1991, President George H. W. Bush addressed the nation to declare an American victory in the Cold War: earlier that day Mikhail Gorbachev had resigned as the first and last Soviet president. The enshrining of that narrative, one in which the end of the Cold War was linked to the disintegration of the Soviet Union and the triumph of democratic values over communism, took center stage in American public discourse immediately after Bush's speech and has persisted for decades -- with disastrous consequences for American standing in the world. As prize-winning historian Serhii Plokhy reveals in The Last Empire, the collapse of the Soviet Union was anything but the handiwork of the United States. On the contrary, American leaders dreaded the possibility that the Soviet Union -- weakened by infighting and economic turmoil -- might suddenly crumble, throwing all of Eurasia into chaos. Bush was firmly committed to supporting his ally and personal friend Gorbachev, and remained wary of nationalist or radical leaders such as recently elected Russian President Boris Yeltsin. Fearing what might happen to the large Soviet nuclear arsenal in the event of the union's collapse, Bush stood by Gorbachev as he resisted the growing independence movements in Ukraine, Moldova, and the Caucasus. Plokhy's detailed, authoritative account shows that it was only after the movement for independence of the republics had gained undeniable momentum on the eve of the Ukrainian vote for independence that fall that Bush finally abandoned Gorbachev to his fate. Drawing on recently declassified documents and original interviews with key participants, Plokhy presents a bold new interpretation of the Soviet Union's final months and argues that the key to the Soviet collapse was the inability of the two largest Soviet republics, Russia and Ukraine, to agree on the continuing existence of a unified state. By attributing the Soviet collapse to the impact of American actions, US policy makers overrated their own capacities in toppling and rebuilding foreign regimes. Not only was the key American role in the demise of the Soviet Union a myth, but this misplaced belief has guided -- and haunted -- American foreign policy ever since.",544.0,History,History
Undoing Gender,Judith Butler,2004,"First Published in 2004. Routledge is an imprint of Taylor & Francis, an informa company.",292.0,Literary Criticism,History
Great Catastrophe,Thomas De Waal,2015,"Drawing on archival sources, reportage and moving personal stories, de Waal tells the full story of Armenian-Turkish relations since the Genocide in all its extraordinary twists and turns. He looks behind the propaganda to examine the realities of a terrible historical crime and the divisive ""politics of genocide"" it produced.",321.0,History,History
Proclaiming the Truman Doctrine,Denise M. Bostdorff,2008,"In this work, Denise M. Bostdorff considers President Truman’s address to a joint session of Congress on March 12, 1947. She focuses on the public and private language that influenced administration perceptions about the precipitating events in Greece and Turkey and explores the news management campaign that set the stage for Truman’s speech. Bostdorff even examines how the president’s health may have influenced his policy decision and how it affected his delivery of the address and campaign for congressional approval. After a rhetorical analysis of the Truman Doctrine speech, the book ends with Bostdorff’s conclusions on its short- and long-term impact. She identifies themes announced by Truman that resound in U.S. foreign policy down to the present day, when George W. Bush has compared his policies in the war on terror to those of Truman and members of his administration have compared Bush to Truman. This important work is a major contribution to scholarship on the presidency, political science, and public rhetoric.",216.0,Biography & Autobiography,History
The Making of the Roman Army,L. J. F. Keppie,1984,No description available,298.0,History,History
The Twelve Caesars,Suetonius,2018-04-18,"One of antiquity's great historical resources, this chronicle portrays the lives and reigns of Julius Caesar and his 11 immediate successors.",659.0,History,History
The Gates of Europe,Serhii Plokhy,2015-12-01,"Ukraine is currently embroiled in a tense battle with Russia to preserve its economic and political independence. But today's conflict is only the latest in a long history of battles over Ukraine's existence as a sovereign nation. As award-winning historian Serhii Plokhy argues in The Gates of Europe, we must examine Ukraine's past in order to understand its fraught present and likely future. Situated between Europe, Russia, and the Asian East, Ukraine was shaped by the empires that have used it as a strategic gateway between East and West—from the Romans and Ottomans to the Third Reich and the Soviet Union, all have engaged in global fights for supremacy on Ukrainian soil. Each invading army left a lasting mark on the landscape and on the population, making modern Ukraine an amalgam of competing cultures. Authoritative and vividly written, The Gates of Europe will be the definitive history of Ukraine for years to come.",433.0,History,History
Late Enlightenment,"Balázs Trencsényi, Michal Kopeček",2006-06-15,"Presents an interpretative synthesis that challenges the self-centered and ""isolationist"" historical narratives and educational canons prevalent in the many countries of Central and Southeast Europe. This title aims to confront 'mainstream' and seemingly successful national discourses with each other.",376.0,History,History
The Prince,Niccolo Machiavelli,2017-03,"The Prince is Niccolo Machiavelli's astute observations on how to read people and situations to acquire power, and is a classic primer for politicians and business leaders alike. Written during the Italian Renaissance, Niccolo Machiavelli's astute observations on how to read people and situations, especially for acquiring and maintaining political power, is a classic primer for politicians and business leaders alike. Whether you approach this reading for its historical significance or choose to apply this knowledge toward achieving success in your own life, you will be enriched. This elegantly designed clothbound edition features an elastic closure and a new introduction.",258.0,History,History
After the Collapse,Dimitri K. Simes,1999,"With an insider's view, an expert on Russia and former foreign policy advisor to President Nixon argues that Russia is returning to the world stage as a great power and intends to resume a major role in international affairs.",280.0,Russia (Federation),History
Sleeping with the Devil,Robert Baer,2003,"“Saudi Arabia is more and more an irrational state—a place that spawns global terrorism even as it succumbs to an ancient and deeply seated isolationism, a kingdom led by a royal family that can’t get out of the way of its own greed. Is this the fulcrum we want the global economy to balance on?” In his explosive New York Times bestseller,See No Evil, former CIA operative Robert Baer exposed how Washington politics drastically compromised the CIA’s efforts to fight global terrorism. Now in his powerful new book, Sleeping with the Devil, Baer turns his attention to Saudi Arabia, revealing how our government’s cynical relationship with our Middle Eastern ally and America’s dependence on Saudi oil make us increasingly vulnerable to economic disaster and put us at risk for further acts of terrorism. For decades, the United States and Saudi Arabia have been locked in a “harmony of interests.” America counted on the Saudis for cheap oil, political stability in the Middle East, and lucrative business relationships for the United States, while providing a voracious market for the kingdom’s vast oil reserves. With money and oil flowing freely between Washington and Riyadh, the United States has felt secure in its relationship with the Saudis and the ruling Al Sa’ud family. But the rot at the core of our “friendship” with the Saudis was dramatically revealed when it became apparent that fifteen of the nineteen September 11 hijackers proved to be Saudi citizens. InSleeping with the Devil, Baer documents with chilling clarity how our addiction to cheap oil and Saudi petrodollars caused us to turn a blind eye to the Al Sa’",266.0,Current Events,History
Peace Process,William B. Quandt,2005,"Updated through the first term of President George W. Bush, this edition analyses how each US president since Lyndon Johnson has dealt with the complex challenge of Arab-Israeli peacemaking.",558.0,History,History
"The History of Adult Education in which is Comprised a Full and Complete History of the Mechanics' and Literary Institutions, Athenaeums, ...",James William Hudson,1851,No description available,294.0,Adult education,Literary Collections
The Bedford Glossary of Critical and Literary Terms,"Ross C. Murfin, Supryia M. Ray",2009,"This is the third edition of an essential glossary for students, now thoroughly updated and expanded with more than 50 new literary and critical terms. This title offers a comprehensive reference that clearly and accessibly defines over 850 important literary and critical terms from classical times to the present. It is thoroughly updated and expanded, with more than 50 new terms, including traditional terms, important contemporary terms and introductions to emerging fields of critical study. It features more contemporary examples, including references to movies, TV shows, and bestselling books, and includes new visual examples.",636.0,Literary Collections,Literary Collections
You Made Me Love You,John Edgar Wideman,2021-04-06,Fifty-seven short stories drawn from past collections celebrate the lifelong significance of this major American writer's essential contribution to a form--illuminating the ways that he has made it his own.,496.0,Fiction,Literary Collections
We Are Not Ourselves,Matthew Thomas,2014-08-19,"Destined to be a classic, this ""powerfully moving"" (Chad Harbach, The Art of Fielding), multigenerational debut novel of an Irish-American family is nothing short of a ""masterwork"" (Joshua Ferris, Then We Came to the End). Born in 1941, Eileen Tumulty is raised by her Irish immigrant parents in Woodside, Queens, in an apartment where the mood swings between heartbreak and hilarity, depending on whether guests are over and how much alcohol has been consumed. When Eileen meets Ed Leary, a scientist whose bearing is nothing like those of the men she grew up with, she thinks she's found the perfect partner to deliver her to the cosmopolitan world she longs to inhabit. They marry, and Eileen quickly discovers Ed doesn't aspire to the same, ever bigger, stakes in the American Dream. Eileen encourages her husband to want more: a better job, better friends, a better house, but as years pass it becomes clear that his growing reluctance is part of a deeper psychological shift. An inescapable darkness enters their lives, and Eileen and Ed and their son Connell try desperately to hold together a semblance of the reality they have known, and to preserve, against long odds, an idea they have cherished of the future. Through the Learys, novelist Matthew Thomas charts the story of the American Century, particularly the promise of domestic bliss and economic prosperity that captured hearts and minds after WWII. The result is a riveting and affecting work of art; one that reminds us that life is more than a tally of victories and defeats, that we live to love and be loved, and that we should tell each other so before the moment slips away. Epic in scope, heroic in character, masterful in prose, We Are Not Ourselves heralds the arrival of a major new talent in contemporary fiction.",640.0,Fiction,Literary Collections
Readers' Liberation,Jonathan Rose,2018,"Readers' Liberation addresses question of what we should be reading to obtain information, examining how past readers encountered the same problems that today's readers face, and how they dealt with them.",238.0,Business & Economics,Literary Collections
Wayfaring Stranger,James Lee Burke,2014-07-15,A sprawling thriller drenched with atmosphere and intrigue that takes a young boy from a chance encounter with Bonnie and Clyde to the trenches of World War II and the oil fields along the Texas-Louisiana coast.,448.0,Fiction,Literary Collections
Every Cloak Rolled in Blood,James Lee Burke,2022-05-24,"In his most autobiographical novel to date, James Lee Burke continues the epic Holland family saga with a writer grieving the death of his daughter while battling earthly and supernatural outlaws. Novelist Aaron Holland Broussard is shattered when his daughter Fannie Mae dies suddenly. As he tries to honor her memory by saving two young men from a life of crime amid their opioid-ravaged community, he is drawn into a network of villainy that includes a violent former Klansman, a far-from-holy minister, a biker club posing as evangelicals, and a murderer who has been hiding in plain sight. Aaron’s only ally is state police officer Ruby Spotted Horse, a no-nonsense woman who harbors some powerful secrets in her cellar. Despite the air of mystery surrounding her, Ruby is the only one Aaron can trust. That is, until the ghost of Fannie Mae shows up, guiding her father through a tangled web of the present and past and helping him vanquish his foes from both this world and the next. Drawn from James Lee Burke’s own life experiences, Every Cloak Rolled in Blood is a devastating exploration of the nature of good and evil and a deeply moving story about the power of love and family.",288.0,Fiction,Literary Collections
Theory and Practice of Literacy Work,"Ali Hamadache, Daniel Martin, Canadian Organization for Development through Education",1986,No description available,238.0,Education,Literary Collections
The Western Canon,Harold Bloom,1994,"In his analysis of Freud's interpretations of Shakespeare, Bloomsuggests that the bard so influenced Freud that he worked tirelessly to deny any genius in an ignorant Stratford actor. This chapter focuses on Freud's writings about ""Hamlet"", but significant comments are made on ""King Lear"" and ""Macbeth"".",600.0,Literary Criticism,Literature
ABC of Reading,Ezra Pound,2010,"This important work, first published in 1934, is a concise statement of Pound's aesthetic theory. It is a primer for the reader who wants to maintain an active, critical mind and become increasingly sensitive to the beauty and inspiration of the world's best literature. With characteristic vigor and iconoclasm, Pound illustrates his precepts with exhibits meticulously chosen from the classics, and the concluding ""Treatise on Meter"" provides an illuminating essay for anyone aspiring to read and write poetry. ABC of Reading displays Pound's great ability to open new avenues in literature for our time.",228.0,Education,Literature
What is World Literature?,David Damrosch,2003-03-30,"World literature was long defined in North America as an established canon of European masterpieces, but an emerging global perspective has challenged both this European focus and the very category of ""the masterpiece."" The first book to look broadly at the contemporary scope and purposes of world literature, What Is World Literature? probes the uses and abuses of world literature in a rapidly changing world. In case studies ranging from the Sumerians to the Aztecs and from medieval mysticism to postmodern metafiction, David Damrosch looks at the ways works change as they move from national to global contexts. Presenting world literature not as a canon of texts but as a mode of circulation and of reading, Damrosch argues that world literature is work that gains in translation. When it is effectively presented, a work of world literature moves into an elliptical space created between the source and receiving cultures, shaped by both but circumscribed by neither alone. Established classics and new discoveries alike participate in this mode of circulation, but they can be seriously mishandled in the process. From the rediscovered Epic of Gilgamesh in the nineteenth century to Rigoberta Menchú's writing today, foreign works have often been distorted by the immediate needs of their own editors and translators. Eloquently written, argued largely by example, and replete with insightful close readings, this book is both an essay in definition and a series of cautionary tales.",344.0,Literary Criticism,Literature
"Frankenstein, Or the Modern Prometheus",Mary Wollstonecraft Shelley,1982-03-15,"Mary Shelley's classic on man's blasphemous attempt to create life is accompanied by commentary on the author and the stylistic, thematic, and mythic aspects of the novel.",338.0,Fiction,Literature
On Literature,Umberto Eco,2004,Publisher Description,352.0,Literary Criticism,Literature
The Formation of the Historical World in the Human Sciences,Wilhelm Dilthey,2002,"This volume provides Dilthey's most mature and best formulation of his Critique of Historical Reason. It begins with three ""Studies Toward the Foundation of the Human Sciences,"" in which Dilthey refashions Husserlian concepts to describe the basic structures of consciousness relevant to historical understanding. The volume next presents the major 1910 work The Formation of the Historical World in the Human Sciences. Here Dilthey considers the degree to which carriers of history--individuals, cultures, institutions, and communities--can be articulated as productive systems capable of generating value and meaning and of realizing purposes. Hegel's idea of objective spirit is reconceived in a more empirical form to designate the medium of commonality in which historical beings are immersed. Any universal claims about history need to be framed within the specific productive systems analyzed by the various human sciences. Dilthey's drafts for the Continuation of the Formation contain extensive discussions of the categories most important for our knowledge of historical life: meaning, value, purpose, time, and development. He also examines the contributions of autobiography to historical understanding and of biography to scientific history. The finest summary of Dilthey's views on hermeneutics can be found in ""The Understanding of Other Persons and Their Manifestations of Life."" Here, Dilthey differentiates understanding relative to three kinds of manifestations of life. After giving his analysis of elementary understanding, he examines the role of induction in higher understanding and interpretation, and the relevance of transposition and re-experiencing for grasping individuality.",424.0,History,Literature
The Great Code,Northrop Frye,2006-01-01,"Considered by many to be Northrop Frye's magnum opus, The Great Code (1982) reflects a lifetime of thinking about the patterns and meanings of the Bible. In this new edition of The Great Code, Alvin A. Lee presents a corrected and fully annotated version of Frye's text, as well as a comprehensive introduction to help contextualize this important work and guide readers through its allusive passages. Lee's introduction provides a synoptic account of the role of the Bible in Frye's intellectual and spiritual odyssey, as well as a description of how The Great Code as a book came into existence, and an introductory critique of the shape and meaning of the book's argument. The Great Code is culturally allusive to a high degree. It takes much of its inspiration from the Bible itself, including a profusion of biblical passages, but also from the author's extensive reading of a host of other texts from ancient times until the late twentieth century. Lee's extensive annotation illustrates, beyond question, that Frye's knowledge of the Bible and how it has worked in Western culture was at once profound and visionary. This new edition not only re-presents Frye's text in a clear, correct, and fully annotated form, it goes a long way in helping us understand the widespread scholarly and popular reception that met this extraordinary and in some ways revolutionary book and how it can still be richly rewarding for readers.",432.0,Literary Collections,Literature
Metamorphoses,Ovid,2008-09-11,"The modern, unacademic idiom of A.D. Melville's translation opens the way to a fresh understanding of Ovid's unique and elusive vision of reality.",529.0,Literary Criticism,Literature
Beginning Theory,Peter Barry,2002-09-07,"In this second edition of Beginning Theory, the variety of approaches, theorists, and technical language is lucidly and expertly unraveled and explained, and allows readers to develop their own ideas once first principles have been grasped. Expanded and updated from the original edition first published in 1995, Peter Barry has incorporated all of the recent developments in literary theory, adding two new chapters covering the emergent Eco-criticism and the re-emerging Narratology.",308.0,Literary Criticism,Literature
Dialogism,Michael Holquist,2002,"Michael Holquist's masterly study draws on all of Bakhtin's known writings, providing a comprehensive account of his achievement. This edition includes a new introduction, concluding chapter and a fully updated bibliography.",250.0,Critics,Literature
Guardian Angel,Julie Garwood,1990-05,"Romance, passion and intrigue on a pirate ship",388.0,Fiction,Literature
The Nature of Fiction,Gregory Currie,1990-10-26,"This important book provides a theory about the nature of fiction, and about the relation between the author, the reader and the fictional text. The approach is philosophical: that is to say, the author offers an account of key concepts such as fictional truth, fictional characters, and fiction itself. The book argues that the concept of fiction can be explained partly in terms of communicative intentions, partly in terms of a condition which excludes relations of counterfactual dependence between the world and the text. This communicative model is then applied to the following problems: how can something be 'true in the story' without being explicitly stated in the text? In what ways does interpreting a fictional story depend upon grasping its author's intentions? Is there always a unique best interpretation of a fictional text? What is the correct semantics for fictional names? What is the nature of our emotional response to a fictional work? In answering these questions the author explores the complex interaction between author, reader, and text. This interaction requires the reader to construct a 'fictional author' - a character in the story whose personality, beliefs and emotional states must be interpreted if the reader is to grasp the meaning of the work.",252.0,Literary Criticism,Literature
"Biographia Literaria, Or, Biographical Sketches of My Literary Life and Opinions","Samuel Taylor Coleridge, Henry Nelson Coleridge",1847,No description available,570.0,Criticism,Literature
Selected Non-fictions,Jorge Luis Borges,1999,"A collection of writings includes essays, literary and film criticism, biographical sketches, and lectures.",584.0,Literary Collections,Literature
The Rules of Art,Pierre Bourdieu,1996,"Written with verve and intensity (and a good bit of wordplay), this is the long-awaited study of Flaubert and the modern literary field that constitutes the definitive work on the sociology of art by one of the worlds leading social theorists. Drawing upon the history of literature and art from the mid-nineteenth century to the present, Bourdieu develops an original theory of art conceived as an autonomous value. He argues powerfully against those who refuse to acknowledge the interconnection between art and the structures of social relations within which it is produced and received. As Bourdieu shows, arts new autonomy is one such structure, which complicates but does not eliminate the interconnection. The literary universe as we know it today took shape in the nineteenth century as a space set apart from the approved academies of the state. No one could any longer dictate what ought to be written or decree the canons of good taste. Recognition and consecration were produced in and through the struggle in which writers, critics, and publishers confronted one another.",436.0,Literary Criticism,Literature
Culture and Imperialism,Edward W. Said,1993,"A landmark work from the intellectually auspicious author of Orientalism that explores the long-overlooked connections between the Western imperial endeavor and the culture that both reflected and reinforced it. ""Said is a brilliant . . . scholar, aesthete and political activist"".--Washington Post Book World.",422.0,History,Literature
Stoner,John Williams,2003,"The son of a Midwestern farmer, William Stoner, arrives at the University of Missouri in 1910 to study agriculture. He had intended to return home to take over his father's farm - but instead, inspired by the professor of English literature, he remains at the university to teach.",312.0,Fiction,Literature
Classical Literature and Its Times,Joyce Moss,2006,Examines the relationship between the political/social climate during which books were written and the works themselves. This volume focuses on classical literature.,520.0,Literary Criticism,Literature
Snow White and Russian Red,Dorota Masłowska,2005,Dorota Maslowska's audacious debut novel establishes her as a new young literary voice of international importance.,304.0,Fiction,Literature
The Victorian Novel and Masculinity,P. Mallett,2015-01-22,"What did it mean, in the rapidly changing world of Victorian England, to 'be a man'? In essays written specially for this volume, nine distinguished scholars from Britain and the USA show how Victorian novelists from the Brontës to Conrad sought to discover what made men, what broke them, and what restored them.",233.0,Social Science,Literature
Toward a Philosophy of the Act,Mikhail Mikhaĭlovich Bakhtin,1993,"Toward a Philosophy of the Act contains the first occurrences of themes that occupied Bakhtin throughout his long career. The topics of authoring, responsibility, self and other, the moral significance of ""outsideness,"" participatory thinking, the implications for the individual subject of having ""no-alibi in existence,"" the relation between the world as experienced in actions and the world as represented in discourse - all are broached here in the white heat of discovery.",144.0,Language Arts & Disciplines,Literature
The History of Science Fiction,A. Roberts,2005-11-28,"The History of Science Fiction traces the origin and development of science fiction from Ancient Greece up to the present day. The author is both an academic literary critic and acclaimed creative writer of the genre. Written in lively, accessible prose it is specifically designed to bridge the worlds of academic criticism and SF fandom.",385.0,Fiction,Literature
Dream of the Red Chamber,Xueqin Cao,1929,No description available,412.0,China,Literature
Thérèse Raquin,Émile Zola,2004-07-29,"Set in the claustrophobic atmosphere of a dingy haberdasher's shop in the passage du Pont-Neuf in Paris, this powerful novel tells how the heroine and her lover, Laurent, kill her husband, Camille, but are subsequently haunted by visions of the dead man and prevented from enjoying the fruits of their crime. Published in 1867, this is Zola's most important work before the Rougon-Macquart series and introduces many of the themes that can be traced through the later novel cycle.",248.0,Fiction,Literature
The Literature Machine,Italo Calvino,1987,"This is a collection of essays by the Cuban essayist and journalist. His work often seeks to confront the role of reader, author and character and question the form of each in order to explore new literary possibilities.",360.0,Literary Criticism,Literature
Killing the Second Dog,Marek Hłasko,1990,No description available,128.0,Fiction,Literature
The Moon and the Bonfires,Cesare Pavese,2002-10-31,"And yet as he uncovers a secret and savage history from the war - a tale of betrayal and reprisal, sex and death - he finds that the past still haunts the present."".",174.0,Fiction,Literature
Modern Criticism and Theory,David Lodge,1988,"Provides within the covers of a single book, a selection of important and representative work from all the major theoretical schools or tendencies in contemporary criticism, and places them before the reader in two alternative orders: one historical, the other thematic.",492.0,Language Arts & Disciplines,Literature
Charmed Circle,James R. Mellow,1975,"Spanning the years from 1903, when Gertrude Stein first arrived in Paris, to her final days at the end of World War II, ""Charmed Circle"" is a penetrating and lively account of a writer at the heart of modernity. Four 8-page photo inserts.",682.0,Literary Criticism,Literature
"Chapterhouse, Dune",Frank Herbert,1985,Science fiction-roman.,472.0,Fiction,Literature
Metamorphoses,Ovid,1955,"""Ovid is, after Homer, the single most important source for classical mythology. The Metamorphoses, which he wrote over the six-year period leading up to his exile from Rome in 8 a.d. , is the primary source for over two hundred classical legends that survived to the twenty-first century. Many of the most familiar classical myths, including the stories of Apollo and Daphne and Pyramus and Thisbe, come directly from Ovid. The Metamorphoses is a twelve-thousand-line poem, written in dactylic hexameters and arranged loosely in chronological order from the beginning of the universe's creation to the Augustan Rome of Ovid's own time. The major theme of the Metamorphoses, as the title suggests, is metamorphosis, or change. Throughout the fifteen books making up the Metamorphoses, the idea of change is pervasive. Gods are continually transforming their own selves and shapes, as well as the shapes and beings of humans. The theme of power is also ever-present in Ovid's work. The gods as depicted by the Roman poets are wrathful, vengeful, capricious creatures who are forever turning their powers against weaker mortals and half-mortals, especially females. Ovid's own situation as a poet who was exiled because of Augustus's capriciousness is thought by many to be reflected in his depictions of the relationships between the gods and humans."" -- from http://www.enotes.com/metamorphoses-of-ovid (Jan. 24, 2011.)",422.0,History,Poetry
The Book of Dede Korkut,,2011-11-03,"The Book of Dede Korkut is a collection of twelve stories set in the heroic age of the Oghuz Turks, a nomadic tribe who had journeyed westwards through Central Asia from the ninth century onwards. The stories are peopled by characters as bizarre as they are unforgettable: Crazy Karchar, whose unpredictability requires an army of fleas to manage it; Kazan, who cheerfully pretends to necrophilia in order to escape from prison; the monster Goggle-eye; and the heroine Chichek, who shoots, races on horseback and wrestles her lover. Geoffrey Lewis's classic translation retains the odd and oddly appealing style of the stories, with their mixture of the colloquial, the poetic and the dignified, and magnificently conveys the way in which they bring to life a wild society and its inhabitants. This edition also includes an introduction, a map and explanatory notes.",248.0,Fiction,Poetry
The Flowers of Evil,Charles Baudelaire,1998,This bold new translation with facing French text restores once banned poems to their original places and reveals the full richness and variety of the collection.,468.0,English poetry,Poetry
The Riverside Chaucer,"Geoffrey Chaucer, Larry Dean Benson",2008,"A re-editing of F.N. Robinson's second edition of The works of Geoffrey Chaucer published in 1957 by the team of experts at the Riverside Institute who have greatly expanded the introductory material, explanatory notes, textual notes, bibliography and glossary. The result of many years' study. The Riverside Chaucer is the most authentic and exciting edition available of Chaucer's complete works.",1386.0,Christian pilgrims and pilgrimages,Poetry
Leaves of Grass - Foglie d'erba,Walt Whitman,2022-05-25,"NON DISPONIBILE PER KINDLE E-INK, PAPERWHITE, OASIS. Pubblicata per la prima volta nel 1855 e arricchita nelle numerose edizioni successive, Foglie d’erba è una raccolta poetica che ha avuto un impatto dirompente sulla scena letteraria del tempo. Nuovo lo stile, quasi un flusso in versi liberi, nuova la cornice visionaria in cui si annullano i confini tra “io” e “mondo”. Un viaggio da fare.",256.0,Poetry,Poetry
Faust,Johann Wolfgang von Goethe,1985,"Goethe's classic, enlivened by Randall Jarrell's fine translation and Peter Sis's dark, dreamy illustrations Randall Jarrell's translation of ""Faust ""is one of his most important achievements. In 1957 he inscribed Goethe's motto on the first page of his notebook--""Ohne Hast aber ohne Rast"" (""Without haste but without rest"")--and from then until his death in 1965 he worked on the masterpiece of his ""own favorite daemon, dear good great Goethe."" His intent was to make the German poetry free, unrhymed poetry in English. He all but finished the job before he died, and the few lines that remained untouched--""Gretchen's Room""--were rendered into English by Robert Lowell. This elegant new edition features numerous beautiful line drawings and jacket lettering by the renowned Czech artist Peter Sis, author of the award-winning books ""Starry Messenger: Galileo Galilei"" and ""Tibet: Through the Red Box.""",364.0,Drama,Poetry
Leaves of Grass,Walt Whitman,2006-08-01,"A collection of quintessentially American poems, the seminal work of one of the most influential writers of the nineteenth century. Leaves of Grass is a collection of poems, the most famous of which is ""Song of Myself""; however there are many others in the collection that display his poetic ability equally well, such as ""I Sing the Body Electric"", ""Out of the Cradle Endlessly Rocking"", and his homage to the assassinated Abraham Lincoln, ""O Captain! My Captain!"" The collection is notable for its delight in, and praise of, the senses. Where much previous poetry, especially English, relied on symbolism, allegory, and meditation on the religious and spiritual, Leaves of Grass exalted the body and the material world. Influenced by the Transcendentalist movement, itself an offshoot of (especially German) Romanticism, Whitman's poetry praises Nature and the individual human's role therein. However, Whitman does not diminish the role of the mind or the spirit; rather, he elevates the human form and the human mind, deeming both worthy of poetic praise. This edition includes: -A concise introduction that gives readers important background information -A chronology of the author's life and work -A timeline of significant events that provides the book's historical context -An outline of key themes and plot points to help readers form their own interpretations -Detailed explanatory notes -Critical analysis, including contemporary and modern perspectives on the work -Discussion questions to promote lively classroom and book group interaction -A list of recommended related books and films to broaden the reader's experience Enriched Classics offer readers affordable editions of great works of literature enhanced by helpful notes and insightful commentary. The scholarship provided in Enriched Classics enables readers to appreciate, understand, and enjoy the world s finest books to their full potential.",688.0,Fiction,Poetry
The Rose Garden,Saʻdī,1997,"""'The Rose Garden' is a kaleidoscope of differing views and ideas, from the most noble to the most trivial, in what Peter Brent called 'a rich mixture of aphorisms, proverbs, love lyrics, erotic stories, descriptions of great rulers and pronouncements in prose and verse on morality and ethics.' Beyond the surface playfulness of his work there is a deep consistency to Saadi's poetry which reveals its sufic dimension. Saadi lived in a time of violence and barbarity much like our own: witnessing the dismemberment of Persia by the Mongols with its attendent massacres, he saw the end of the cultural supremecy of his beloved Baghdad. The charm, fun and games, and ultimate serenity in his work was thus hard-won, and aspects of life like cruelty and racism are not eluded: they are seen as part of the vast tapestry God has woven for mankind to study and learn from. It is in fact the complexity of Saadi's world view that makes this book into a primer for self-development and an instrument for altering one's own consciousness""--P. [4] of cover.",244.0,Persian literature,Poetry
Iliad & Odyssey,Homer,2012-11-15,"No home library is complete without the classics! Iliad & Odyssey brings together the two essential Greek epics from the poet Homer in an omnibus edition-a keepsake to be read and treasured. The Iliad and The Odyssey are two of the oldest works of Western literature--yet these ancient myths still offer powerful lessons for our times. From the fascinating fall of Troy to Odysseus' perilous journey home, from the gods and goddesses to the Sirens and the suitors, the events and characters of these epic tales captivate us, teach us, and inspire us. Their influence can be seen far and wide, from James Joyce's Ulysses to the movie sensation Troy, starring Brad Pitt. Whether you've read Homer's original stories or you've only enjoyed their modern-day descendants, you'll love this Canterbury Classics edition of Iliad & Odyssey, and will be moved by these magical works. A classic keepsake for fans of Greek mythology, as well as all great literature, Iliad & Odyssey is the perfect addition to any library.",545.0,Poetry,Poetry
The Metamorphoses of Publius Ovidius Naso,Ovid,2013-02-20,"Metamorphose is a Latin narrative poem in fifteen books by the Roman poet Ovid, describing the history of the world from its creation to the deification of Julius Caesar within a loose mythico-historical framework. Completed in AD 8, it is recognized as a masterpiece of Golden Age Latin literature.",816.0,Poetry,Poetry
The Light of Asia Or the Great Renunciation,Edwin Arnold,1890,No description available,338.0,History,Poetry
The Book of Images,Rainer Maria Rilke,2014-06-03,"Now substantially revised by Edward Snow, whom Denise Levertov once called ""far and away Rilke's best translator,"" this bilingual edition of The Book of Images contains a number of the great poet's previously untranslated pieces. Also included are several of Rilke's best-loved lyrics, such as ""Autumn,"" ""Childhood,"" ""Lament,"" ""Evening,"" and ""Entrance.""",284.0,Poetry,Poetry
